#  aims_uuid : 9BAF59A7-5CCE-4CB6-A97F-F69893AB3B24                                
# The energy reference for this output is the chemical potential, mu =      -4.708547 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -15.29145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.28845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.28545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.28245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.27945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.27645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.27345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.27045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.26745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.26445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.26145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.25845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.25545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.25245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.24945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.24645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.24345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.24045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.23745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.23445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.23145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.22845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.22545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.22245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.21945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.21645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.21345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.21045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.20745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.20445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.20145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.19845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.19545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.19245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.18945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.18645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.18345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.18045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.17745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.17445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.17145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.16845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.16545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.16245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.15945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.15645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.15345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
